GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39047,Fayette County,COUNTY,2016,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2016,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2016,Solar,1,6000
0500000US39047,Fayette County,COUNTY,2016,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2016,Wind,0,0
0500000US39047,Fayette County,COUNTY,2017,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2017,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2017,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2017,Solar,0,0
0500000US39047,Fayette County,COUNTY,2017,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2017,Wind,0,0
0500000US39047,Fayette County,COUNTY,2018,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2018,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2018,Natural Gas/Propane,0,0
